Player_Name,PositionType
Jason Castagna,Forward
David Astbury,Defender
Daniel Rioli,Forward
Bachar Houli,Defender
Dion Prestia,Midfield
Dustin Martin,Forward
Liam Baker,Defender
Nick Vlastuin,Defender
Jayden Short,Defender
Kane Lambert,Forward
Noah Balta,Defender
Shai Bolton,Forward
Marlion Pickett,Midfield
Patrick Dangerfield,Midfield
Gryan Miers,Forward
Luke Dahlhaus,Forward
Gary Ablett,Forward
Jed Bews,Defender
Brandan Parfitt,Forward
Harry Taylor,Defender
Zach Tuohy,Defender
Tom Hawkins,Forward
Jake Kolodjashnij,Defender
Gary Rohan,Forward
Jack Henry,Defender
Mark Blicavs,Defender
Mitch Duncan,Midfield
Cameron Guthrie,Midfield
Lachie Henderson,Defender
Sam Menegola,Midfield
Tom J. Lynch,Forward
Joel Selwood,Midfield
Sam Simpson,Interchange
Rhys Stanley,Ruck
Tom Stewart,Defender
Shane Edwards,Forward
Jack Graham,Midfield
Kamdyn McIntosh,Midfield
Toby Nankervis,Ruck
Trent Cotchin,Midfield
Nathan Broad,Defender
Jack Riewoldt,Forward
Dylan Grimes,Defender
Mark O'Connor,Defender
Callum Ah Chee,Forward
Grant Birchall,Defender
Zac Bailey,Midfield
Stefan Martin,Ruck
Daniel McStay,Forward
Lachie Neale,Midfield
Lincoln McCarthy,Forward
Harris Andrews,Defender
Charlie Cameron,Forward
Daniel Rich,Defender
Brandon Starcevich,Defender
Dayne Zorko,Midfield
Jack Payne,Defender
Ryan Lester,Defender
Jarryd Lyons,Midfield
Jarrod Berry,Midfield
Mitch Robinson,Midfield
Hugh McCluggage,Forward
Eric Hipwood,Forward
Cameron Ellis-Yolmen,Midfield
Oscar McInerney,Forward
Cam Rayner,Forward
Darcy Byrne-Jones,Defender
Zak Butters,Forward
Trent McKenzie,Defender
Robbie Gray,Forward
Peter Ladhams,Interchange
Charlie Dixon,Forward
Steven Motlop,Forward
Xavier Duursma,Midfield
Brad Ebert,Midfield
Tom Rockliff,Midfield
Ollie Wines,Midfield
Tom Jonas,Defender
Dan Houston,Defender
Hamish Hartlett,Defender
Todd Marshall,Forward
Scott Lycett,Ruck
Connor Rozee,Forward
Sam Powell-Pepper,Midfield
Ryan Burton,Defender
Tom Clurey,Defender
Travis Boak,Midfield
Karl Amon,Midfield
Levi Greenwood,Defender
Brodie Grundy,Ruck
Will Hoskin-Elliott,Forward
Jack Madgen,Defender
Brayden Maynard,Defender
Adam Treloar,Midfield
Josh Daicos,Defender
Jordan De Goey,Forward
Jack Crisp,Defender
Darcy Moore,Defender
John Noble,Defender
Jordan Roughead,Defender
Scott Pendlebury,Midfield
Isaac Quaynor,Interchange
Josh Thomas,Forward
Jaidyn Stephenson,Forward
Jamie Elliott,Forward
Brody Mihocek,Forward
Chris Mayne,Midfield
Mason Cox,Forward
Darcy Cameron,Forward
Taylor Adams,Midfield
Jack Lonie,Forward
Hunter Clark,Midfield
Nick Coffield,Defender
Zak Jones,Midfield
Jonathon Marsh,Forward
Dan Hannebery,Midfield
Dean Kent,Forward
Rowan Marshall,Ruck
Bradley Hill,Midfield
Jarryn Geary,Defender
Dougal Howard,Defender
Max King,Forward
Callum Wilkie,Defender
Jack Steele,Midfield
Shane Savage,Defender
Sebastian Ross,Midfield
Josh Battle,Defender
Jack Billings,Midfield
Dan Butler,Forward
Jack Sinclair,Forward
Tim Membrey,Forward
Ben Paton,Defender
Oscar Allen,Forward
Tom Barrass,Defender
Brad Sheppard,Defender
Jackson Nelson,Defender
Jack Darling,Forward
Jake Waterman,Forward
Jack Redden,Midfield
Dom Sheed,Midfield
Liam Ryan,Forward
Jack Petruccelle,Forward
Nic Naitanui,Ruck
Jeremy McGovern,Defender
Josh J. Kennedy,Forward
Tim Kelly,Midfield
Shannon Hurn,Defender
Andrew Gaff,Midfield
Liam Duggan,Defender
Luke Shuey,Midfield
Jamie Cripps,Forward
Tom Cole,Defender
Brayden Ainsworth,Interchange
Brendon Ah Chee,Forward
Ben Long,Forward
Paddy Ryder,Ruck
Jake Carlisle,Defender
Bailey Smith,Midfield
Aaron Naughton,Forward
Patrick Lipinski,Forward
Tom Liberatore,Midfield
Alex Keath,Defender
Jason Johannisen,Defender
Lachie Hunter,Midfield
Ryan Gardner,Defender
Jack Macrae,Midfield
Marcus Bontempelli,Midfield
Ed Richards,Midfield
Easton Wood,Defender
Bailey Williams,Defender
Mitch Wallis,Forward
Roarke Smith,Defender
Josh Bruce,Forward
Tim English,Ruck
Taylor Duryea,Defender
Josh Dunkley,Midfield
Caleb Daniel,Defender
Hayden Crozier,Defender
Zaine Cordy,Defender
Keidean Coleman,Interchange
Darcy Gardiner,Defender
Mabior Chol,Interchange
Jake Aarts,Forward
Tom Atkins,Forward
Jarrod Lienert,Defender
Tyler Brown,Interchange
Riley Bonner,Defender
Travis Varcoe,Forward
Boyd Woodcock,Forward
Caleb Serong,Midfield
Michael Frederick,Forward
Stephen Hill,Midfield
Ethan Hughes,Defender
Adam Cerra,Midfield
Reece Conca,Midfield
Brennan Cox,Forward
Sean Darcy,Ruck
Taylin Duman,Defender
Nathan Wilson,Defender
Travis Colyer,Forward
Mitchell Crowden,Forward
Nat Fyfe,Midfield
Liam Henry,Interchange
Jesse Hogan,Forward
Rory Lobb,Forward
David Mundy,Midfield
Luke Ryan,Defender
Lachie Schultz,Forward
Andrew Brayshaw,Midfield
James Aish,Defender
Blake Acres,Midfield
Jordan Dawson,Defender
Harry Cunningham,Midfield
Ryan Clarke,Midfield
Nick Blakey,Forward
James Bell,Forward
Aliir Aliir,Defender
Callum Mills,Defender
Jackson Thurlow,Defender
Sam Reid,Forward
Jake Lloyd,Defender
Tom McCartin,Forward
Robbie Fox,Defender
Justin McInerney,Interchange
Oliver Florent,Midfield
Josh P. Kennedy,Midfield
Will Hayward,Forward
Callum Sinclair,Ruck
Lewis Melican,Defender
Tom Papley,Forward
James Rowbottom,Midfield
Dylan Stephens,Interchange
Luke Parker,Midfield
Jack Steven,Midfield
Esava Ratugolea,Forward
Sam Collins,Defender
Wil Powell,Forward
Jy Farrar,Interchange
Luke Breust,Forward
Shaun Burgoyne,Defender
Jonathon Ceglar,Ruck
Dylan Moore,Interchange
Harry Morrison,Midfield
Tim O'Brien,Forward
Paul Puopolo,Forward
Josh Corbett,Forward
Jack Lukosius,Defender
Jarrod Witts,Ruck
Jeremy Sharp,Interchange
Hugh Greenwood,Midfield
Ben Stratton,Defender
Tom Mitchell,Midfield
Damon Greaves,Midfield
Blake Hardwick,Defender
Jack Gunston,Forward
James Cousins,Midfield
Chad Wingard,Forward
Will Day,Defender
Liam Shiels,Midfield
Ben McEvoy,Ruck
Sam Frost,Defender
James Frawley,Defender
Jack Scrimshaw,Defender
Jaeger O'Meara,Midfield
Mitchell Lewis,Forward
Noah Anderson,Interchange
Lachie Weller,Midfield
Izak Rankine,Forward
Jack Bowes,Midfield
Jarrod Harbrow,Defender
